Test,Session,LapNumber,Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,Position,LapTimeSec,Sector1TimeSec,Sector2TimeSec,Sector3TimeSec
1,3,39.0,BOR,Audi,0 days 00:01:43.551000,0 days 00:00:32.198000,0 days 00:00:46.416000,0 days 00:00:24.937000,218.0,224.0,270.0,302.0,HARD,10.0,False,,103.551,32.198,46.416,24.937
1,3,40.0,BOR,Audi,0 days 00:01:42.149000,0 days 00:00:32.610000,0 days 00:00:44.746000,0 days 00:00:24.793000,216.0,234.0,299.0,291.0,HARD,11.0,False,,102.149,32.61,44.746,24.793
1,3,41.0,BOR,Audi,0 days 00:01:40.747000,0 days 00:00:31.727000,0 days 00:00:44.500000,0 days 00:00:24.520000,216.0,235.0,301.0,300.0,HARD,12.0,False,,100.747,31.727,44.5,24.52
1,3,42.0,BOR,Audi,0 days 00:01:41.118000,0 days 00:00:31.845000,0 days 00:00:44.647000,0 days 00:00:24.626000,217.0,235.0,301.0,300.0,HARD,13.0,False,,101.118,31.845,44.647,24.626
1,3,43.0,BOR,Audi,0 days 00:01:41.004000,0 days 00:00:31.702000,0 days 00:00:44.658000,0 days 00:00:24.644000,217.0,233.0,302.0,301.0,HARD,14.0,False,,101.004,31.702,44.658,24.644
1,3,44.0,BOR,Audi,0 days 00:01:41.340000,0 days 00:00:31.849000,0 days 00:00:44.839000,0 days 00:00:24.652000,218.0,236.0,301.0,302.0,HARD,15.0,False,,101.34,31.849,44.839,24.652
1,3,45.0,BOR,Audi,0 days 00:01:57.748000,0 days 00:00:37.737000,0 days 00:00:48.716000,0 days 00:00:31.295000,212.0,196.0,,301.0,HARD,16.0,False,,117.748,37.737,48.716,31.295
1,3,46.0,BOR,Audi,,,0 days 00:00:47.373000,0 days 00:00:26.598000,212.0,231.0,286.0,171.0,SOFT,1.0,True,,,,47.373,26.598
1,3,47.0,BOR,Audi,0 days 00:01:37.536000,0 days 00:00:30.892000,0 days 00:00:43.034000,0 days 00:00:23.610000,217.0,230.0,301.0,308.0,SOFT,2.0,True,,97.536,30.892,43.034,23.61
1,3,48.0,BOR,Audi,0 days 00:02:18.624000,0 days 00:00:46.161000,0 days 00:01:01.113000,0 days 00:00:31.350000,120.0,207.0,,172.0,SOFT,3.0,True,,138.624,46.161,61.113,31.35
1,3,49.0,BOR,Audi,0 days 00:02:18.758000,0 days 00:01:04.245000,0 days 00:00:47.915000,0 days 00:00:26.598000,198.0,214.0,295.0,118.0,SOFT,4.0,False,,138.758,64.245,47.915,26.598
1,3,50.0,BOR,Audi,0 days 00:01:38.056000,0 days 00:00:31.009000,0 days 00:00:43.264000,0 days 00:00:23.783000,217.0,230.0,295.0,307.0,SOFT,5.0,False,,98.056,31.009,43.264,23.783
1,3,51.0,BOR,Audi,0 days 00:01:59.541000,0 days 00:00:35.940000,0 days 00:00:50.259000,0 days 00:00:33.342000,199.0,196.0,,197.0,SOFT,6.0,False,,119.541,35.94,50.259,33.342
1,3,52.0,BOR,Audi,,,0 days 00:00:51.222000,0 days 00:00:25.358000,200.0,232.0,299.0,181.0,SOFT,7.0,False,,,,51.222,25.358
1,3,53.0,BOR,Audi,0 days 00:01:48.628000,0 days 00:00:31.282000,0 days 00:00:43.782000,0 days 00:00:33.564000,224.0,233.0,,296.0,SOFT,8.0,False,,108.628,31.282,43.782,33.564
2,1,1.0,BOR,Audi,,,0 days 00:00:47.530000,0 days 00:00:27.614000,201.0,231.0,278.0,152.0,HARD,9.0,False,,,,47.53,27.614
2,1,2.0,BOR,Audi,0 days 00:01:39.484000,0 days 00:00:31.557000,0 days 00:00:43.601000,0 days 00:00:24.326000,219.0,238.0,303.0,318.0,HARD,10.0,False,,99.484,31.557,43.601,24.326
